Users	Throughput	ResponseTime	Utilization	Goodput	Badput	DropRate
1	0.4419	2.4827	0.2243	0.4419	0.0000	0.0000
2	0.6239	3.6407	0.3131	0.6239	0.0000	0.0000
3	0.6975	2.7158	0.3480	0.6975	0.0000	0.0000
4	0.7244	3.0250	0.3681	0.7244	0.0000	0.0000
5	0.9016	5.4733	0.4671	0.9016	0.0000	0.0000
6	1.0288	7.4352	0.5231	1.0288	0.0000	0.0425
7	1.0661	4.8714	0.5314	1.0661	0.0000	0.0000
8	1.0685	6.4037	0.5346	1.0685	0.0000	0.0000
9	1.2146	7.5616	0.6133	1.2146	0.0000	0.0577
10	1.2188	7.7312	0.6172	1.2188	0.0000	0.0457
11	1.3035	9.5774	0.6557	1.3035	0.0000	0.0565
12	1.3980	11.3345	0.7047	1.3980	0.0000	0.0334
13	1.4241	13.0489	0.7109	1.4241	0.0000	0.1514
14	1.5410	19.0413	0.7830	1.5410	0.0000	0.6940
15	1.6137	20.8051	0.8164	1.6137	0.0000	0.9800
16	1.6120	17.0009	0.8054	1.6120	0.0000	0.5568
17	1.6940	25.5456	0.8564	1.6940	0.0000	1.3858
18	1.7536	28.3810	0.8920	1.7536	0.0000	1.6790
19	1.7607	24.1361	0.8667	1.7607	0.0000	1.2677
20	1.7731	33.0911	0.9106	1.7731	0.0000	2.4392
21	1.7869	33.9220	0.9138	1.7869	0.0000	2.3503
22	1.8259	36.9707	0.9347	1.8259	0.0000	2.6734
23	1.8304	38.3330	0.9396	1.8304	0.0000	2.8540
24	1.9058	43.7394	0.9594	1.9058	0.0000	3.4682
25	1.9237	46.9850	0.9716	1.9237	0.0000	3.9034
26	1.8957	45.2535	0.9629	1.8957	0.0000	3.5339
27	1.9280	46.5315	0.9672	1.9280	0.0000	3.8665
28	1.9070	53.4445	0.9767	1.9070	0.0000	4.4001
29	1.9536	50.4493	0.9772	1.9536	0.0000	4.3962
30	1.9421	52.8791	0.9775	1.9421	0.0000	4.5623
31	1.9285	53.9285	0.9813	1.9285	0.0000	4.7301
32	1.9942	54.7918	0.9817	1.9942	0.0000	4.8860
33	1.9425	57.6141	0.9849	1.9425	0.0000	5.0259
34	1.9163	58.9920	0.9822	1.9163	0.0000	4.9200
35	1.9789	55.8915	0.9811	1.9789	0.0000	5.1199
36	1.9244	60.2916	0.9849	1.9244	0.0000	5.2410
37	1.9692	59.8535	0.9810	1.9692	0.0000	5.2455
38	1.9438	58.9058	0.9882	1.9438	0.0000	5.5572
39	1.9638	60.9909	0.9897	1.9638	0.0000	5.4742
40	1.9702	60.2799	0.9860	1.9702	0.0000	5.4363
